PlayerID,Player,Team,TeamID
thompkl01,Klay Thompson,Dallas Mavericks,DAL
thomptr01,Tristan Thompson,Cleveland Cavaliers,CLE
thorjt01,JT Thor,Cleveland Cavaliers,CLE
tillmxa01,Xavier Tillman Sr.,Boston Celtics,BOS
toppija01,Jacob Toppin,New York Knicks,NYK
toppiob01,Obi Toppin,Indiana Pacers,IND
townska01,Karl-Anthony Towns,New York Knicks,NYK
travelu01,Luke Travers,Cleveland Cavaliers,CLE
trentga02,Gary Trent Jr.,Milwaukee Bucks,MIL
turnemy01,Myles Turner,Indiana Pacers,IND
tysonhu01,Hunter Tyson,Denver Nuggets,DEN
tysonja01,Jaylon Tyson,Cleveland Cavaliers,CLE
umudest01,Stanley Umude,Milwaukee Bucks,MIL
valanjo01,Jonas Valanciunas,Washington Wizards,WAS
vanvlfr01,Fred VanVleet,Houston Rockets,HOU
vassede01,Devin Vassell,San Antonio Spurs,SAS
vincega01,Gabe Vincent,Los Angeles Lakers,LAL
vucevni01,Nikola Vucevic,Chicago Bulls,CHI
wadede01,Dean Wade,Cleveland Cavaliers,CLE
wagnefr01,Franz Wagner,Orlando Magic,ORL
wagnemo01,Moritz Wagner,Orlando Magic,ORL
walkeja01,Jabari Walker,Portland Trail Blazers,POR
walkeja02,Jarace Walker,Indiana Pacers,IND
wallaca01,Cason Wallace,Oklahoma City Thunder,OKC
wallake01,Keaton Wallace,Atlanta Hawks,ATL
walshjo01,Jordan Walsh,Boston Celtics,BOS
walteja01,Ja'Kobe Walter,Toronto Raptors,TOR
wareke01,Kel'el Ware,Miami Heat,MIA
washipj01,P.J. Washington,Dallas Mavericks,DAL
washity02,TyTy Washington Jr.,Phoenix Suns,PHO
waterli01,Lindy Waters III,Golden State Warriors,GSW
watfotr01,Trendon Watford,Brooklyn Nets,BRK
watsope01,Peyton Watson,Denver Nuggets,DEN
wellsja01,Jaylen Wells,Memphis Grizzlies,MEM
wembavi01,Victor Wembanyama,San Antonio Spurs,SAS
weslebl01,Blake Wesley,San Antonio Spurs,SAS
westbru01,Russell Westbrook,Denver Nuggets,DEN
whiteco01,Coby White,Chicago Bulls,CHI
whiteda01,Dariq Whitehead,Brooklyn Nets,BRK
whitede01,Derrick White,Boston Celtics,BOS
whitmca01,Cam Whitmore,Houston Rockets,HOU
wiggiaa01,Aaron Wiggins,Oklahoma City Thunder,OKC
wiggian01,Andrew Wiggins,Golden State Warriors,GSW
willial06,Alondes Williams,Detroit Pistons,DET
willibr03,Brandon Williams,Dallas Mavericks,DAL
willico04,Cody Williams,Utah Jazz,UTA
willigr01,Grant Williams,Charlotte Hornets,CHO
willija06,Jalen Williams,Oklahoma City Thunder,OKC
willije02,Jeenathan Williams,Houston Rockets,HOU
willike04,Kenrich Williams,Oklahoma City Thunder,OKC
willipa01,Patrick Williams,Chicago Bulls,CHI
williro04,Robert Williams,Portland Trail Blazers,POR
willivi01,Vince Williams Jr.,Memphis Grizzlies,MEM
willizi01,Zion Williamson,New Orleans Pelicans,NOP
willizi02,Ziaire Williams,Brooklyn Nets,BRK
wilsoja03,Jalen Wilson,Brooklyn Nets,BRK
wisemja01,James Wiseman,Indiana Pacers,IND
wrighde01,Delon Wright,Milwaukee Bucks,MIL
yabusgu01,Guerschon Yabusele,Philadelphia 76ers,PHI
youngtr01,Trae Young,Atlanta Hawks,ATL
zubaciv01,Ivica Zubac,Los Angeles Clippers,LAC
